N,trunc_mean,trunc_rms,round_mean,round_rms,stochastic_mean,stochastic_rms
1,-3558.6953125,3567.1577194332885,120.5546875,223.16181418983848,-17.6953125,283.141652380041
2,-4304.2734375,4375.357686717595,170.3515625,282.07735945791535,7.6015625,312.7345307425293
4,-4134.3564453125,4404.795131156606,138.8310546875,261.8733424022718,7.5185546875,307.90789606786234
8,-3842.91259765625,4025.768840280213,149.02490234375,257.8255328145251,-5.28759765625,272.95078378911785
16,-4216.339599609375,4390.780779459558,174.176025390625,280.9541947034861,7.316650390625,292.51411849940575
32,-4234.11767578125,4463.761267919961,171.47607421875,287.359205929481,2.77294921875,302.2578071488343
64,-4133.541687011719,4334.348160381539,175.06378173828125,289.8911952618293,-0.36981201171875,295.6581225044088
128,-4253.6583251953125,4422.92093567254,176.9764404296875,291.50006312897983,-0.0802001953125,297.903759770583
256,-4242.924118041992,4433.347315020969,181.9079132080078,297.3204217368237,-0.0969696044921875,298.70762248164624
512,-4273.716651916504,4468.331873823471,186.7345199584961,301.87001687432877,1.0973129272460938,297.57907998634585
1024,-4316.715774536133,4501.35707589518,187.1350555419922,302.41221334781005,-0.6750030517578125,301.19799749663656
2048,-4297.745191574097,4473.519679073242,184.26921272277832,298.4428013483505,-0.1402111053466797,299.81434109114366
4096,-4333.621145248413,4511.619744995209,186.13501930236816,300.6093714151085,0.09760475158691406,301.2721905208303
