K,mode,accuracy,delta_from_exact
0,exact,0.8294,0.0
1,trunc,0.8303,0.09000000000000119
1,round,0.8309,0.14999999999999458
2,trunc,0.8293,-0.009999999999998899
2,round,0.8303,0.09000000000000119
3,trunc,0.8232,-0.6199999999999983
3,round,0.83,0.05999999999999339
4,trunc,0.7954,-3.400000000000003
4,round,0.8304,0.10000000000000009
5,trunc,0.568,-26.140000000000008
5,round,0.8303,0.09000000000000119
6,trunc,0.1083,-72.11000000000001
6,round,0.8295,0.009999999999998899
drum-4,drum,0.8236,-0.5800000000000027
drum-6,drum,0.8314,0.20000000000000018
