fmt,is_fp,K,aca_window,energy_pJ,mult_pJ,add_pJ,med,rmse,nmed,max_abs
FP16,True,0,,1.500000,1.100000,0.400000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
FP16,True,1,,1.404545,1.004545,0.400000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
FP16,True,2,,1.318182,0.918182,0.400000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
FP16,True,3,,1.240909,0.840909,0.400000,2.441406e-07,7.720404e-06,3.727110e-12,2.441406e-04
FP16,True,4,,1.172727,0.772727,0.400000,1.220703e-06,2.316121e-05,1.863555e-11,4.882812e-04
FP16,True,5,,1.113636,0.713636,0.400000,2.685547e-06,3.537934e-05,4.099821e-11,4.882812e-04
FP16,True,6,,1.063636,0.663636,0.400000,3.906250e-06,4.085254e-05,5.963376e-11,4.882812e-04
BF16,True,0,,1.330000,0.950000,0.380000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
BF16,True,1,,1.218672,0.838672,0.380000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
BF16,True,2,,1.122187,0.742188,0.380000,1.953125e-06,6.176324e-05,5.762227e-45,1.953125e-03
BF16,True,3,,1.040547,0.660547,0.380000,1.562500e-05,1.953125e-04,4.609782e-44,3.906250e-03
BF16,True,4,,0.973750,0.593750,0.380000,4.785156e-05,4.290211e-04,1.411746e-43,7.812500e-03
BF16,True,5,,0.921797,0.541797,0.380000,8.935547e-05,5.552254e-04,2.636219e-43,7.812500e-03
BF16,True,6,,0.884687,0.504687,0.380000,1.933594e-04,8.152250e-04,5.704605e-43,7.812500e-03
FP32,True,0,,4.600000,3.700000,0.900000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
FP32,True,1,,4.449045,3.549045,0.900000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
FP32,True,2,,4.304514,3.404514,0.900000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
FP32,True,3,,4.166406,3.266406,0.900000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
FP32,True,4,,4.034722,3.134722,0.900000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
FP32,True,5,,3.909462,3.009462,0.900000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
FP32,True,6,,3.790625,2.890625,0.900000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
