fmt,is_fp,K,aca_window,energy_pJ,mult_pJ,add_pJ,med,rmse,nmed,max_abs
INT4,False,0,,0.150000,0.050000,0.100000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
INT4,False,0,32,0.150000,0.050000,0.100000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
INT4,False,0,16,0.125000,0.050000,0.075000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
INT4,False,0,8,0.112500,0.050000,0.062500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
INT4,False,0,4,0.106250,0.050000,0.056250,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
INT4,False,1,,0.139063,0.039062,0.100000,2.420000e-01,4.919350e-01,4.938776e-03,1.000000e+00
INT4,False,1,32,0.139063,0.039062,0.100000,2.420000e-01,4.919350e-01,4.938776e-03,1.000000e+00
INT4,False,1,16,0.114063,0.039062,0.075000,2.420000e-01,4.919350e-01,4.938776e-03,1.000000e+00
INT4,False,1,8,0.101562,0.039062,0.062500,2.420000e-01,4.919350e-01,4.938776e-03,1.000000e+00
INT4,False,1,4,0.095312,0.039062,0.056250,2.420000e-01,4.919350e-01,4.938776e-03,1.000000e+00
INT4,False,2,,0.131250,0.031250,0.100000,9.940000e-01,1.489295e+00,2.028571e-02,3.000000e+00
INT4,False,2,32,0.131250,0.031250,0.100000,9.940000e-01,1.489295e+00,2.028571e-02,3.000000e+00
INT4,False,2,16,0.106250,0.031250,0.075000,9.940000e-01,1.489295e+00,2.028571e-02,3.000000e+00
INT4,False,2,8,0.093750,0.031250,0.062500,9.940000e-01,1.489295e+00,2.028571e-02,3.000000e+00
INT4,False,2,4,0.087500,0.031250,0.056250,9.940000e-01,1.489295e+00,2.028571e-02,3.000000e+00
INT4,False,3,,0.126563,0.026563,0.100000,2.766000e+00,3.666333e+00,5.644898e-02,7.000000e+00
INT4,False,3,32,0.126563,0.026563,0.100000,2.766000e+00,3.666333e+00,5.644898e-02,7.000000e+00
INT4,False,3,16,0.101563,0.026563,0.075000,2.766000e+00,3.666333e+00,5.644898e-02,7.000000e+00
INT4,False,3,8,0.089063,0.026563,0.062500,2.766000e+00,3.666333e+00,5.644898e-02,7.000000e+00
INT4,False,3,4,0.082813,0.026563,0.056250,2.766000e+00,3.666333e+00,5.644898e-02,7.000000e+00
INT4,False,4,,0.125000,0.025000,0.100000,6.502000e+00,8.059901e+00,1.326939e-01,1.500000e+01
INT4,False,4,32,0.125000,0.025000,0.100000,6.502000e+00,8.059901e+00,1.326939e-01,1.500000e+01
INT4,False,4,16,0.100000,0.025000,0.075000,6.502000e+00,8.059901e+00,1.326939e-01,1.500000e+01
INT4,False,4,8,0.087500,0.025000,0.062500,6.502000e+00,8.059901e+00,1.326939e-01,1.500000e+01
INT4,False,4,4,0.081250,0.025000,0.056250,6.502000e+00,8.059901e+00,1.326939e-01,1.500000e+01
INT4,False,5,,0.126563,0.026563,0.100000,1.349400e+01,1.685711e+01,2.753878e-01,3.100000e+01
INT4,False,5,32,0.126563,0.026563,0.100000,1.349400e+01,1.685711e+01,2.753878e-01,3.100000e+01
INT4,False,5,16,0.101563,0.026563,0.075000,1.349400e+01,1.685711e+01,2.753878e-01,3.100000e+01
INT4,False,5,8,0.089063,0.026563,0.062500,1.349400e+01,1.685711e+01,2.753878e-01,3.100000e+01
INT4,False,5,4,0.082813,0.026563,0.056250,1.349400e+01,1.685711e+01,2.753878e-01,3.100000e+01
INT4,False,6,,0.131250,0.031250,0.100000,2.802200e+01,3.527631e+01,5.718776e-01,6.300000e+01
INT4,False,6,32,0.131250,0.031250,0.100000,2.802200e+01,3.527631e+01,5.718776e-01,6.300000e+01
INT4,False,6,16,0.106250,0.031250,0.075000,2.802200e+01,3.527631e+01,5.718776e-01,6.300000e+01
INT4,False,6,8,0.093750,0.031250,0.062500,2.802200e+01,3.527631e+01,5.718776e-01,6.300000e+01
INT4,False,6,4,0.087500,0.031250,0.056250,2.802200e+01,3.527631e+01,5.718776e-01,6.300000e+01
INT8,False,0,,0.300000,0.200000,0.100000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
INT8,False,0,32,0.300000,0.200000,0.100000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
INT8,False,0,16,0.275000,0.200000,0.075000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
INT8,False,0,8,0.262500,0.200000,0.062500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
INT8,False,0,4,0.256250,0.200000,0.056250,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
INT8,False,1,,0.276563,0.176563,0.100000,2.420000e-01,4.919350e-01,1.500403e-05,1.000000e+00
INT8,False,1,32,0.276563,0.176563,0.100000,2.420000e-01,4.919350e-01,1.500403e-05,1.000000e+00
INT8,False,1,16,0.251563,0.176563,0.075000,2.420000e-01,4.919350e-01,1.500403e-05,1.000000e+00
INT8,False,1,8,0.239063,0.176563,0.062500,2.420000e-01,4.919350e-01,1.500403e-05,1.000000e+00
INT8,False,1,4,0.232813,0.176563,0.056250,2.420000e-01,4.919350e-01,1.500403e-05,1.000000e+00
INT8,False,2,,0.256250,0.156250,0.100000,1.044000e+00,1.547256e+00,6.472813e-05,3.000000e+00
INT8,False,2,32,0.256250,0.156250,0.100000,1.044000e+00,1.547256e+00,6.472813e-05,3.000000e+00
INT8,False,2,16,0.231250,0.156250,0.075000,1.044000e+00,1.547256e+00,6.472813e-05,3.000000e+00
INT8,False,2,8,0.218750,0.156250,0.062500,1.044000e+00,1.547256e+00,6.472813e-05,3.000000e+00
INT8,False,2,4,0.212500,0.156250,0.056250,1.044000e+00,1.547256e+00,6.472813e-05,3.000000e+00
INT8,False,3,,0.239063,0.139063,0.100000,2.700000e+00,3.606938e+00,1.674003e-04,7.000000e+00
INT8,False,3,32,0.239063,0.139063,0.100000,2.700000e+00,3.606938e+00,1.674003e-04,7.000000e+00
INT8,False,3,16,0.214063,0.139063,0.075000,2.700000e+00,3.606938e+00,1.674003e-04,7.000000e+00
INT8,False,3,8,0.201563,0.139063,0.062500,2.700000e+00,3.606938e+00,1.674003e-04,7.000000e+00
INT8,False,3,4,0.195312,0.139063,0.056250,2.700000e+00,3.606938e+00,1.674003e-04,7.000000e+00
INT8,False,4,,0.225000,0.125000,0.100000,6.444000e+00,8.062878e+00,3.995288e-04,1.500000e+01
INT8,False,4,32,0.225000,0.125000,0.100000,6.444000e+00,8.062878e+00,3.995288e-04,1.500000e+01
INT8,False,4,16,0.200000,0.125000,0.075000,6.444000e+00,8.062878e+00,3.995288e-04,1.500000e+01
