budget,policy,K_vector,logit_nrmse,energy_per_inference_pJ
0,uniform,0|0|0|0,0.0,59750.40000000001
0,allocated,0|0|0|0,0.0,59750.40000000001
1,uniform,1|0|0|0,0.38445577223509264,58214.40000000001
1,allocated,0|0|1|0,0.035235560281733413,58214.40000000001
2,uniform,1|1|0|0,0.3930781897980519,56678.40000000001
2,allocated,0|0|2|0,0.07895586818509168,56883.200000000004
3,uniform,1|1|1|0,0.39143752524629255,55142.40000000001
3,allocated,0|1|2|0,0.1339855084716926,55347.200000000004
4,uniform,1|1|1|1,0.3915877523257879,55082.40000000001
4,allocated,0|1|3|0,0.16287274079974745,54220.80000000001
5,uniform,2|1|1|1,0.5519874320065977,53751.200000000004
5,allocated,1|1|3|0,0.3869186818611581,52684.80000000001
6,uniform,2|2|1|1,0.5531508618320123,52420.0
6,allocated,1|1|4|0,0.39190456877102187,51763.200000000004
7,uniform,2|2|2|1,0.5573261823458553,51088.799999999996
7,allocated,1|2|4|0,0.4161805786337626,50432.0
8,uniform,2|2|2|2,0.5578475306973744,51036.799999999996
8,allocated,1|2|5|0,0.4106673998250845,49715.200000000004
9,uniform,3|2|2|2,0.6304933940229901,49910.399999999994
9,allocated,1|2|5|1,0.41059252841302496,49655.200000000004
10,uniform,3|3|2|2,0.6422390550890047,48784.0
10,allocated,1|2|6|1,0.462705864009212,49143.200000000004
11,uniform,3|3|3|2,0.642910287371162,47657.600000000006
11,allocated,2|2|6|1,0.5499061792014633,47812.0
12,uniform,3|3|3|3,0.644202507424385,47613.600000000006
12,allocated,2|3|6|1,0.5514284493358965,46685.6
13,uniform,4|3|3|3,0.6906179967987438,46692.0
13,allocated,2|4|6|1,0.5476016946740587,45764.0
14,uniform,4|4|3|3,0.7233573432747182,45770.4
14,allocated,3|4|6|1,0.6313571705453993,44637.600000000006
15,uniform,4|4|4|3,0.7223622380583324,44848.8
15,allocated,3|4|6|2,0.6315261509940941,44585.600000000006
16,uniform,4|4|4|4,0.7234505010852311,44812.8
16,allocated,3|5|6|2,0.6422743227842964,43868.8
17,uniform,5|4|4|4,0.7958373844136751,44096.0
17,allocated,4|5|6|2,0.7105264142405272,42947.200000000004
18,uniform,5|5|4|4,0.8039410197726148,43379.200000000004
18,allocated,4|6|6|2,0.7422142697840848,42435.200000000004
19,uniform,5|5|5|4,0.7936213151721138,42662.4
19,allocated,4|6|6|3,0.742204084730758,42391.200000000004
20,uniform,5|5|5|5,0.7975446548265,42634.4
20,allocated,5|6|6|3,0.8120598840830282,41674.4
21,uniform,6|5|5|5,0.8870018058718876,42122.4
21,allocated,6|6|6|3,0.8749690900091239,41162.4
22,uniform,6|6|5|5,0.8742753947367761,41610.4
22,allocated,6|6|6|4,0.875206038516932,41126.4
23,uniform,6|6|6|5,0.877590955387641,41098.4
23,allocated,6|6|6|5,0.877590955387641,41098.4
24,uniform,6|6|6|6,0.8829950819773857,41078.4
24,allocated,6|6|6|6,0.8829950819773857,41078.4
