fmt,K,rounding,med,rmse,nmed,bias
INT8,1,trunc,0.23775,0.4875961443653959,1.4740529481058962e-05,0.23775
INT8,1,round,0.23775,0.4875961443653959,1.4740529481058962e-05,-0.23775
INT8,1,stochastic,0.23775,0.4875961443653959,1.4740529481058962e-05,0.00025
INT8,2,trunc,1.02225,1.523728978526037,6.337962675925352e-05,1.02225
INT8,2,round,0.76475,1.1365518026029433,4.741459482918966e-05,-0.54675
INT8,2,stochastic,0.89325,1.3437819763637255,5.538161076322152e-05,-0.03175
INT8,3,trunc,2.74925,3.649349257059401,0.0001704538409076818,2.74925
INT8,3,round,1.72725,2.2675427228610268,0.00010708971417942836,-0.70475
INT8,3,stochastic,2.17925,2.9593495907040115,0.00013511377022754046,-0.06075
INT8,4,trunc,6.54125,8.11922102174833,0.00040555831111662225,6.54125
INT8,4,round,3.75775,4.624472942941715,0.00023298096596193192,-1.04275
INT8,4,stochastic,4.79175,6.158713339651392,0.00029708909417818836,-0.15875
INT8,5,trunc,14.08125,16.965428081837487,0.0008730392460784922,14.08125
INT8,5,round,7.75225,9.235678101796315,0.0004806404612809226,-0.99875
INT8,5,stochastic,10.16125,12.743066742350525,0.00062999875999752,-0.63075
INT8,6,trunc,29.89725,35.247265851410376,0.0018536332072664145,29.89725
INT8,6,round,15.88375,18.587784967553286,0.0009847944695889391,-1.73475
INT8,6,stochastic,21.06275,26.018488618672684,0.0013058931117862238,-0.77475
