a,b,bits,window,sum
-2032246412,1773983162,32,4,-276154834
-384820378,-207954583,32,4,-592779057
-814607433,749481607,32,4,-350342850
-314232255,-143524998,32,4,-726258245
-1519759311,-505283973,32,4,-2041886036
685541201,2000658750,32,4,-1626658673
861309355,-2073627082,32,4,-1212383279
-456874111,-1559214501,32,4,-2016088612
702145632,-767747677,32,4,-83428093
152921949,1506652417,32,4,1390024798
808149202,446518566,32,4,1253619192
-1375204763,1464936929,32,4,-178707642
1049312688,1455146174,32,4,-2076774034
57519288,1687466999,32,4,1743871919
-93265058,-193706492,32,4,-287037102
451356388,2075895708,32,4,-2053976720
-142505360,1978085712,32,4,1818803136
-367398431,542583330,32,4,174070531
286580791,-240887148,32,4,45628107
89609114,1929708597,32,4,2019317711
-1728530311,-2046225252,32,4,519162885
756153651,146568618,32,4,634217181
22371266,996006657,32,4,1017259715
1564274538,330159345,32,4,1624879963
-1423347572,595585530,32,4,-828876426
-1939380080,1777816731,32,4,-446776277
1491093829,-1249071604,32,4,225240897
-99918314,1140957187,32,4,1041038873
-1629781484,-1734243196,32,4,645664408
1370024589,1906206571,32,4,-1036631576
806881016,1096964118,32,4,1903844878
-210116077,-79545188,32,4,-289726801
1894981332,2018544524,32,4,-398223024
-486482495,-569420193,32,4,-1324408048
-171090453,648623655,32,4,459703042
-2147013927,-338170310,32,4,1809713155
-1372033592,2004078081,32,4,363539401
-1082795017,170449019,32,4,-1180851358
-1200980196,-137064676,32,4,-1354826200
1111124339,212547982,32,4,1322619633
1800630668,723051054,32,4,-2039786582
544785516,-742069805,32,4,-214127297
-1099268634,-1562983523,32,4,1346383987
-1345457091,2125097016,32,4,493313125
729021329,1096076028,32,4,1825027469
-1972424908,1088690126,32,4,-901564686
909448749,406908659,32,4,1316353040
-455991209,-1000869517,32,4,-1473703478
-1806829919,981492986,32,4,-825402725
757763058,-797966111,32,4,-40203309
-443233316,886030849,32,4,424906205
-790657636,487888151,32,4,-303883613
-1803274324,940484154,32,4,-863838762
293449426,-507444006,32,4,-230776148
-170241421,711657604,32,4,523590391
-795577235,1169032705,32,4,355629678
-2081358675,-1331610098,32,4,865151659
-415724308,1894411815,32,4,1460857347
-258306497,1269347118,32,4,993145181
91038271,1777365982,32,4,1851626765
-1538382292,1022747064,32,4,-801962028
-83344850,335829221,32,4,252484099
-380566430,-1333831213,32,4,-1715446475
-1970757909,-588431129,32,4,1449516738
1459318786,-788756904,32,4,652736090
-1028840120,29251867,32,4,-1017414061
1061673149,-2075305558,32,4,-1283186345
-1307336832,1212203872,32,4,-95202592
-182000086,513277178,32,4,62771732
-1866314721,-1928688002,32,4,499960461
1249907612,-748464601,32,4,501442995
1201892278,1171057606,32,4,-1938864516
-1186599954,-1376976625,32,4,1445129453
217843148,106628406,32,4,38210290
398600907,342753754,32,4,723528597
2071784595,-518433337,32,4,1552232794
1889886175,1800709341,32,4,-604376148
-641630725,-917864516,32,4,-1844712281
442912080,2026691547,32,4,-2111694805
-1521255625,1527495852,32,4,-262264877
-1333864185,-152302977,32,4,-1503997066
-787330366,1442889923,32,4,655493765
-559979319,-914097606,32,4,-1760403725
1022365048,-482583274,32,4,523000462
25593775,563426978,32,4,572243265
1134699656,-1536637330,32,4,-418714906
-653543926,-573422135,32,4,-1495401533
-1824742597,893503438,32,4,-931304711
1750512125,1039250807,32,4,-1790482844
-605448453,257241002,32,4,-633424491
-813812592,-1646224438,32,4,1549717338
-2008330228,-1182581385,32,4,835620211
-1360014808,-296875933,32,4,-1943151989
1835368531,705778902,32,4,-2022255575
-770158613,-2106037435,32,4,1417718304
-1441016612,880040235,32,4,-561041929
1862820091,343663527,32,4,1936933778
1392110403,1695279034,32,4,-1208696067
1557884893,1182281423,32,4,-1841066596
431044795,907319916,32,4,1338360343
-2119450868,382171255,32,4,-1755175053
-1730293553,398825000,32,4,-1349359897
91732527,-1858939707,32,4,-1767272732
-1036610587,1944878600,32,4,890372589
-457593157,89489063,32,4,-384951214
-386261653,2122542672,32,4,1451064251
96368222,-692495040,32,4,-613956706
64915116,1053674997,32,4,832258961
-2038572286,1961208044,32,4,-95259666
-1133705413,-1573978796,32,4,1586230415
-1924689265,-248788436,32,4,2120375467
-313159884,-420785534,32,4,-1020210762
474224034,115397993,32,4,304409099
747698332,1378478232,32,4,2126106660
-1559279818,-357280993,32,4,-1917609403
1550864408,-388195746,32,4,877455974
1005478865,-1677968738,32,4,-958751377
-535778090,944775643,32,4,408997281
27940267,135236910,32,4,162124489
977892036,1221654142,32,4,1914267698
232421896,103557233,32,4,66491001
1036327373,-2075675635,32,4,-1324560950
1267446549,552614404,32,4,1803283737
1365125507,-1586273449,32,4,-222196518
1119772600,1954637056,32,4,-1237338952
-1446251672,381202004,32,4,-1082945092
334915472,-1687608777,32,4,-1369470521
394698071,538884024,32,4,932463631
927430683,1681331598,32,4,-1686205031
-1672804665,-1042671456,32,4,1561665127
1991095900,-918129254,32,4,1071852518
181972076,-391223224,32,4,-495582044
-1272738791,-1915736843,32,4,838051854
311124770,-1512192802,32,4,-1218959376
-91067853,1711520319,32,4,1351947362
372512265,1161505528,32,4,1534013681
1004381168,2047756611,32,4,-1512313805
1481870233,-52699437,32,4,1143888236
-1143917619,-1175046416,32,4,1690790333
1227109695,-1775933804,32,4,-548824125
-1198413846,94791932,32,4,-1120464938
-697832063,2107932754,32,4,1124822483
-646493393,-2059856678,32,4,1587568633
510066373,1133174962,32,4,1373691511
-56743766,994375521,32,4,668081931
1064856270,2005292857,32,4,-1493257737
1099621706,2059165551,32,4,-1154075479
-1041277469,-471441780,32,4,-1530549393
2088979126,-1313729148,32,4,758472506
1655944178,1968142328,32,4,-671995158
-2010296792,903922178,32,4,-1123221462
1709186008,-274946618,32,4,1149022366
-1899881765,-678295600,32,4,1431572907
-23441810,300905274,32,4,259633560
676379330,-213596734,32,4,462716804
155159689,141583245,32,4,28307206
-1286445389,-1587892946,32,4,1420559313
1961814260,369019945,32,4,-1982028771
-418924303,-1009738939,32,4,-1428733130
-19219446,-1634718076,32,4,-1939154290
-1730468738,1805364272,32,4,-211369810
895862565,551200752,32,4,1430220309
1267183715,282345379,32,4,1532751622
1622138929,-2092521879,32,4,-471497062
-952045793,345587892,32,4,-606523453
-886049352,1159571566,32,4,3972374
-1484192951,855578568,32,4,-646440447
1139347365,2078231438,32,4,-1095218653
-2028620009,575420689,32,4,-1454251992
1098979480,1260945412,32,4,-1935042404
-149201866,2081375829,32,4,1662685835
853825942,-1659008625,32,4,-806235627
-447626768,1983734333,32,4,1536041773
-1752220411,-1618767523,32,4,637718098
-801196795,-185571109,32,4,-1003610672
1523439894,561646271,32,4,2067256261
1766919230,923428781,32,4,-1873058853
629580704,-1500589301,32,4,-888899925
-2035550647,-2025333330,32,4,232965095
328922601,-510195647,32,4,-199099094
-1402414185,501498092,32,4,-1186194573
-810968246,-810563860,32,4,-1907863258
1385558675,-247719943,32,4,1136724364
-1319209510,82484766,32,4,-1254620184
1322378478,899798274,32,4,1936898528
1517619101,-2146427745,32,4,-628813012
-1957269726,595802866,32,4,-1361471212
-1572095328,1260027851,32,4,-313185941
-208623767,-232681067,32,4,-441370370
-201545264,-1237554129,32,4,-1456994817
794807123,-2128662449,32,4,-1603339374
-1317509376,908857121,32,4,-409704927
-2070087081,-810172063,32,4,1128381368
-1671329154,364554986,32,4,-1592056744
-461208033,1880050383,32,4,1417789662
1930282725,-1589544879,32,4,340672054
-1659900912,-248565433,32,4,-1909580457
-754417495,-689741962,32,4,-1444159713
-1610187437,569821640,32,4,-1040435685
87558710,-533440560,32,4,-445886202
1016182618,-1942965508,32,4,-1195284154
-1845236494,-899710210,32,4,1548906208
-914162369,609643802,32,4,-304588215
-1933607462,1251050458,32,4,-968822620
214273445,91347273,32,4,20338414
820396470,-804225831,32,4,16170383
-107709685,1841776029,32,4,1448849560
692208914,1606814590,32,4,2013806720
381349335,704993416,32,4,817837407
1927639190,-659778497,32,4,1249969349
-1559704028,-914139873,32,4,1821053747
-2026977983,931347741,32,4,-1096682914
407628830,1077464315,32,4,1483974665
-753825317,1660972823,32,4,907143394
-1423695105,721694273,32,4,-970440656
-1472802712,1456517385,32,4,-33128095
-2144106978,-822899326,32,4,1311114128
1960082785,-161875576,32,4,1781360361
-1715645965,-1041149701,32,4,1521394158
-1048656266,1781397758,32,4,731627108
93411983,1875524658,32,4,1683719857
1789918047,454754393,32,4,1975188392
-1981203861,-1280543817,32,4,1015393554
-273749677,1716436179,32,4,1173132582
-1897009863,-1155692319,32,4,972711194
-455591560,-1833856198,32,4,1988742306
-248741238,-186384884,32,4,-451972986
-381403301,1821655119,32,4,1171816346
344722118,-437205226,32,4,-109264420
1558542208,155281865,32,4,1428607049
-1888618474,-1788459750,32,4,348339488
-1801419304,20760045,32,4,-1780725067
210437564,-25793832,32,4,-84840572
-955679084,-1579751450,32,4,1759466874
-260787356,-459349725,32,4,-738028409
-351904671,1973175317,32,4,1351782518
-132858189,-2097621822,32,4,2047640181
1013277383,360686210,32,4,1104413769
-1236719652,1558305321,32,4,36368885
76609801,1416158714,32,4,1492698867
409662306,-928969945,32,4,-804520311
1483268148,459426344,32,4,1674193500
-211031131,-1325832876,32,4,-1554759431
-2023264307,851835243,32,4,-1188276184
1441298553,-762907826,32,4,661547959
-833672161,2005308957,32,4,902148652
915179451,-444356799,32,4,453979900
893257715,1030636508,32,4,1654409935
-1464346865,-738890076,32,4,2074883491
310993172,-742917144,32,4,-449815300
2078278370,-1785699801,32,4,7365641
1752078070,-710802474,32,4,1023449548
-1907461010,-959548724,32,4,1141696042
-1324992645,1162639734,32,4,-163405599
62225626,668572281,32,4,713950787
971797731,-33895350,32,4,651571245
1102818241,-1663190503,32,8,-577215014
1745516781,-1783117334,32,8,-37666345
1433104922,-1540329340,32,8,-107224418
599585831,-502810573,32,8,96709722
-824000186,-939512122,32,8,-1763512564
-995056606,-920491213,32,8,-1915613355
1121838839,-1570290037,32,8,-465294206
-1895480692,415128720,32,8,-1480352228
-728717904,-454543482,32,8,-1200038858
219343159,741070379,32,8,960348002
-1288892683,137147822,32,8,-1151745117
-1120291871,1504018614,32,8,383660951
-855052765,-154499711,32,8,-1009618012
13413080,903125044,32,8,899695116
2083052085,-271378906,32,8,1811673179
266935662,1717618145,32,8,1967776335
1957618598,-1788479618,32,8,152295972
1275918078,899715185,32,8,-2119399825
-1494233758,-1302622743,32,8,1481267787
1117582514,-1484442484,32,8,-383702978
-729463785,-1844710305,32,8,1720727670
-398780928,1314417156,32,8,915636228
