a,b,expected_product
36,-99,-3456
-121,62,-7200
-57,-65,3584
-70,-92,5632
61,-101,-5760
46,62,2640
101,12,1152
-105,24,-2496
-19,-119,2016
-120,-104,12480
-72,-68,4608
2,27,52
-121,16,-1920
-77,56,-4032
39,52,1872
12,-20,-240
-71,-13,832
23,-56,-1232
80,95,7040
-126,67,-7680
79,-87,-5760
51,-19,-864
-40,-56,2240
-88,-72,6336
118,68,7168
-41,-101,3840
-104,-30,3120
-103,-36,3456
89,-39,-3168
27,-60,-1560
79,-116,-8064
59,-10,-560
10,-96,-960
122,109,12480
-31,-107,3120
14,-52,-728
85,33,2560
31,99,2880
93,-35,-2816
20,-78,-1440
53,-110,-5408
-116,42,-4480
-69,70,-4096
-53,125,-6240
-107,91,-9152
-68,94,-5632
-102,-30,2880
-56,-11,616
35,86,2560
-34,-86,2560
-33,-37,1152
-74,44,-3168
-59,52,-2912
112,47,4928
38,-109,-3744
28,35,896
-84,9,-720
59,-65,-3584
-86,-9,720
-30,-58,1680
126,109,12480
36,49,1728
15,-71,-960
48,-44,-2112
88,69,5632
71,-113,-7168
-69,83,-5120
-119,79,-8064
-47,-25,1056
-59,-111,5824
-73,106,-7488
114,18,2016
97,56,5376
-47,-73,3168
40,0,0
-26,99,-2496
107,37,3744
-10,-91,880
-60,-92,5280
-64,63,-3840
16,10,160
-60,64,-3840
22,-18,-396
102,22,2112
-25,-35,768
-71,-92,5632
3,-1,-3
-104,66,-6656
-115,93,-9856
-99,-88,8448
33,-87,-2560
75,47,3168
-19,25,-432
-111,-29,2912
-30,25,-720
-8,8,-64
-63,121,-7200
14,93,1232
114,-125,-13440
47,57,2464
-98,47,-4224
99,10,960
65,-59,-3584
69,37,2304
-40,-99,3840
-52,-16,832
-87,-11,880
-127,117,-13440
57,97,5376
57,-60,-3360
121,1,120
68,-82,-5120
2,106,208
-100,95,-8448
33,-51,-1536
88,36,3168
2,28,56
-77,-88,6336
-32,68,-2048
-86,11,-880
117,72,8064
109,8,832
108,-127,-12480
26,-45,-1144
-2,-123,240
-99,110,-9984
-35,97,-3072
125,85,9600
79,-49,-3456
-66,-113,7168
-66,97,-6144
18,115,2016
-107,-106,10816
60,-3,-180
81,-110,-8320
123,67,7680
9,69,576
-95,-95,7744
41,-6,-240
115,13,1456
-85,-60,4800
8,96,768
28,-19,-504
119,-73,-8064
110,11,1144
66,59,3584
49,-76,-3456
55,-48,-2496
-25,127,-2880
44,39,1584
-32,-15,480
103,5,480
-12,-97,1152
-64,-70,4096
-111,-41,4160
-122,23,-2640
14,-69,-896
23,-71,-1408
-126,-109,12480
54,34,1664
-112,-69,7168
-110,104,-10816
-119,93,-9856
-43,-109,4160
4,-67,-256
-56,44,-2464
-3,-73,216
11,-94,-968
58,112,6272
98,19,1728
20,-6,-120
-65,73,-4608
-6,79,-432
-23,-79,1584
-103,-103,9216
41,-17,-640
-37,-19,648
-22,-8,176
94,59,4928
-114,45,-4928
40,124,4800
38,-102,-3456
-112,-24,2688
59,-41,-2240
77,93,6336
-100,-64,6144
-78,-79,5184
10,-13,-130
-92,-19,1584
-81,-56,4480
-9,-64,576
96,109,9984
-108,-14,1456
79,93,6336
92,13,1144
-102,-115,10752
39,11,396
87,-124,-9600
121,-104,-12480
110,65,6656
