a,b,K,mode,product_full,product_rounded
-128,-128,0,0,16384,16384
-128,-128,0,1,16384,16384
-128,-128,1,0,16384,16384
-128,-128,1,1,16384,16384
-128,-128,2,0,16384,16384
-128,-128,2,1,16384,16384
-128,-128,3,0,16384,16384
-128,-128,3,1,16384,16384
-128,-128,4,0,16384,16384
-128,-128,4,1,16384,16384
-128,-128,5,0,16384,16384
-128,-128,5,1,16384,16384
-128,-128,6,0,16384,16384
-128,-128,6,1,16384,16384
-128,-1,0,0,128,128
-128,-1,0,1,128,128
-128,-1,1,0,128,128
-128,-1,1,1,128,128
-128,-1,2,0,128,128
-128,-1,2,1,128,128
-128,-1,3,0,128,128
-128,-1,3,1,128,128
-128,-1,4,0,128,128
-128,-1,4,1,128,128
-128,-1,5,0,128,128
-128,-1,5,1,128,128
-128,-1,6,0,128,128
-128,-1,6,1,128,128
-128,0,0,0,0,0
-128,0,0,1,0,0
-128,0,1,0,0,0
-128,0,1,1,0,0
-128,0,2,0,0,0
-128,0,2,1,0,0
-128,0,3,0,0,0
-128,0,3,1,0,0
-128,0,4,0,0,0
-128,0,4,1,0,0
-128,0,5,0,0,0
-128,0,5,1,0,0
-128,0,6,0,0,0
-128,0,6,1,0,0
-128,1,0,0,-128,-128
-128,1,0,1,-128,-128
-128,1,1,0,-128,-128
-128,1,1,1,-128,-128
-128,1,2,0,-128,-128
-128,1,2,1,-128,-128
-128,1,3,0,-128,-128
-128,1,3,1,-128,-128
-128,1,4,0,-128,-128
-128,1,4,1,-128,-128
-128,1,5,0,-128,-128
-128,1,5,1,-128,-128
-128,1,6,0,-128,-128
-128,1,6,1,-128,-128
-128,127,0,0,-16256,-16256
-128,127,0,1,-16256,-16256
-128,127,1,0,-16256,-16256
-128,127,1,1,-16256,-16256
-128,127,2,0,-16256,-16256
-128,127,2,1,-16256,-16256
-128,127,3,0,-16256,-16256
-128,127,3,1,-16256,-16256
-128,127,4,0,-16256,-16256
-128,127,4,1,-16256,-16256
-128,127,5,0,-16256,-16256
-128,127,5,1,-16256,-16256
-128,127,6,0,-16256,-16256
-128,127,6,1,-16256,-16256
-1,-128,0,0,128,128
-1,-128,0,1,128,128
-1,-128,1,0,128,128
-1,-128,1,1,128,128
-1,-128,2,0,128,128
-1,-128,2,1,128,128
-1,-128,3,0,128,128
-1,-128,3,1,128,128
-1,-128,4,0,128,128
-1,-128,4,1,128,128
-1,-128,5,0,128,128
-1,-128,5,1,128,128
-1,-128,6,0,128,128
-1,-128,6,1,128,128
-1,-1,0,0,1,1
-1,-1,0,1,1,1
-1,-1,1,0,1,0
-1,-1,1,1,1,2
-1,-1,2,0,1,0
-1,-1,2,1,1,0
-1,-1,3,0,1,0
-1,-1,3,1,1,0
-1,-1,4,0,1,0
-1,-1,4,1,1,0
-1,-1,5,0,1,0
-1,-1,5,1,1,0
-1,-1,6,0,1,0
-1,-1,6,1,1,0
-1,0,0,0,0,0
-1,0,0,1,0,0
-1,0,1,0,0,0
-1,0,1,1,0,0
-1,0,2,0,0,0
-1,0,2,1,0,0
-1,0,3,0,0,0
-1,0,3,1,0,0
-1,0,4,0,0,0
-1,0,4,1,0,0
-1,0,5,0,0,0
-1,0,5,1,0,0
-1,0,6,0,0,0
-1,0,6,1,0,0
-1,1,0,0,-1,-1
-1,1,0,1,-1,-1
-1,1,1,0,-1,-2
-1,1,1,1,-1,0
-1,1,2,0,-1,-4
-1,1,2,1,-1,0
-1,1,3,0,-1,-8
-1,1,3,1,-1,0
-1,1,4,0,-1,-16
-1,1,4,1,-1,0
-1,1,5,0,-1,-32
-1,1,5,1,-1,0
-1,1,6,0,-1,-64
-1,1,6,1,-1,0
-1,127,0,0,-127,-127
-1,127,0,1,-127,-127
-1,127,1,0,-127,-128
-1,127,1,1,-127,-126
-1,127,2,0,-127,-128
-1,127,2,1,-127,-128
-1,127,3,0,-127,-128
-1,127,3,1,-127,-128
-1,127,4,0,-127,-128
-1,127,4,1,-127,-128
-1,127,5,0,-127,-128
-1,127,5,1,-127,-128
-1,127,6,0,-127,-128
-1,127,6,1,-127,-128
0,-128,0,0,0,0
0,-128,0,1,0,0
0,-128,1,0,0,0
0,-128,1,1,0,0
0,-128,2,0,0,0
0,-128,2,1,0,0
0,-128,3,0,0,0
0,-128,3,1,0,0
0,-128,4,0,0,0
0,-128,4,1,0,0
0,-128,5,0,0,0
0,-128,5,1,0,0
0,-128,6,0,0,0
0,-128,6,1,0,0
0,-1,0,0,0,0
0,-1,0,1,0,0
0,-1,1,0,0,0
0,-1,1,1,0,0
0,-1,2,0,0,0
0,-1,2,1,0,0
0,-1,3,0,0,0
0,-1,3,1,0,0
0,-1,4,0,0,0
0,-1,4,1,0,0
0,-1,5,0,0,0
0,-1,5,1,0,0
0,-1,6,0,0,0
0,-1,6,1,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,1,0,0,0
0,0,1,1,0,0
0,0,2,0,0,0
0,0,2,1,0,0
0,0,3,0,0,0
0,0,3,1,0,0
0,0,4,0,0,0
0,0,4,1,0,0
0,0,5,0,0,0
0,0,5,1,0,0
0,0,6,0,0,0
0,0,6,1,0,0
0,1,0,0,0,0
0,1,0,1,0,0
0,1,1,0,0,0
0,1,1,1,0,0
0,1,2,0,0,0
0,1,2,1,0,0
0,1,3,0,0,0
0,1,3,1,0,0
0,1,4,0,0,0
0,1,4,1,0,0
0,1,5,0,0,0
0,1,5,1,0,0
0,1,6,0,0,0
0,1,6,1,0,0
0,127,0,0,0,0
0,127,0,1,0,0
0,127,1,0,0,0
0,127,1,1,0,0
0,127,2,0,0,0
0,127,2,1,0,0
0,127,3,0,0,0
0,127,3,1,0,0
0,127,4,0,0,0
0,127,4,1,0,0
0,127,5,0,0,0
0,127,5,1,0,0
0,127,6,0,0,0
0,127,6,1,0,0
1,-128,0,0,-128,-128
1,-128,0,1,-128,-128
1,-128,1,0,-128,-128
1,-128,1,1,-128,-128
1,-128,2,0,-128,-128
1,-128,2,1,-128,-128
1,-128,3,0,-128,-128
1,-128,3,1,-128,-128
1,-128,4,0,-128,-128
1,-128,4,1,-128,-128
1,-128,5,0,-128,-128
1,-128,5,1,-128,-128
1,-128,6,0,-128,-128
1,-128,6,1,-128,-128
1,-1,0,0,-1,-1
1,-1,0,1,-1,-1
1,-1,1,0,-1,-2
1,-1,1,1,-1,0
1,-1,2,0,-1,-4
1,-1,2,1,-1,0
1,-1,3,0,-1,-8
1,-1,3,1,-1,0
1,-1,4,0,-1,-16
1,-1,4,1,-1,0
1,-1,5,0,-1,-32
1,-1,5,1,-1,0
1,-1,6,0,-1,-64
