a,b,K,seed_call_idx,product_full,product_rounded
-113,8,1,0,-904,-904
-28,-108,1,1,3024,3024
-21,-59,1,2,1239,1240
-118,-32,1,3,3776,3776
44,98,1,4,4312,4312
-101,-8,1,5,808,808
15,33,1,6,495,496
-62,111,1,7,-6882,-6882
-4,-107,1,8,428,428
-55,-99,1,9,5445,5444
95,113,1,10,10735,10734
-28,52,1,11,-1456,-1456
-20,-42,1,12,840,840
46,100,1,13,4600,4600
50,-18,1,14,-900,-900
-81,-113,1,15,9153,9152
-113,-88,1,16,9944,9944
-66,-80,1,17,5280,5280
34,114,1,18,3876,3876
57,-23,1,19,-1311,-1312
5,26,1,20,130,130
-3,79,1,21,-237,-236
-126,-80,1,22,10080,10080
32,52,1,23,1664,1664
103,-91,1,24,-9373,-9374
15,-83,1,25,-1245,-1244
86,71,1,26,6106,6106
46,-82,1,27,-3772,-3772
29,-126,1,28,-3654,-3654
-26,82,1,29,-2132,-2132
-93,8,1,30,-744,-744
-93,-3,1,31,279,278
1,33,1,32,33,32
-3,-123,1,33,369,368
65,-15,1,34,-975,-974
10,-65,1,35,-650,-650
115,-57,1,36,-6555,-6556
92,-18,1,37,-1656,-1656
-9,-75,1,38,675,676
118,18,1,39,2124,2124
126,91,1,40,11466,11466
-92,34,1,41,-3128,-3128
97,-62,1,42,-6014,-6014
-51,71,1,43,-3621,-3622
-102,-76,1,44,7752,7752
-38,-42,1,45,1596,1596
-63,-78,1,46,4914,4914
-26,-81,1,47,2106,2106
-74,126,1,48,-9324,-9324
-107,55,1,49,-5885,-5884
111,-95,1,50,-10545,-10544
10,29,1,51,290,290
98,-12,1,52,-1176,-1176
-63,-29,1,53,1827,1828
-87,109,1,54,-9483,-9484
69,-124,1,55,-8556,-8556
60,-90,1,56,-5400,-5400
15,77,1,57,1155,1156
-74,59,1,58,-4366,-4366
-106,-21,1,59,2226,2226
-10,-83,1,60,830,830
51,-51,1,61,-2601,-2600
77,87,1,62,6699,6698
-67,-48,1,63,3216,3216
46,116,1,64,5336,5336
-53,-82,1,65,4346,4346
92,-48,1,66,-4416,-4416
12,34,1,67,408,408
-35,-102,1,68,3570,3570
-92,103,1,69,-9476,-9476
-57,-55,1,70,3135,3134
20,78,1,71,1560,1560
-32,109,1,72,-3488,-3488
-39,-10,1,73,390,390
111,-77,1,74,-8547,-8548
-128,16,1,75,-2048,-2048
114,-69,1,76,-7866,-7866
11,-56,1,77,-616,-616
103,119,1,78,12257,12258
-21,21,1,79,-441,-440
58,92,1,80,5336,5336
70,15,1,81,1050,1050
30,-46,1,82,-1380,-1380
-99,110,1,83,-10890,-10890
-1,86,1,84,-86,-86
86,-73,1,85,-6278,-6278
110,37,1,86,4070,4070
-49,-63,1,87,3087,3086
16,100,1,88,1600,1600
19,105,1,89,1995,1994
-120,63,1,90,-7560,-7560
58,9,1,91,522,522
28,-121,1,92,-3388,-3388
-69,50,1,93,-3450,-3450
22,-87,1,94,-1914,-1914
10,-115,1,95,-1150,-1150
-54,-81,1,96,4374,4374
-64,-80,1,97,5120,5120
-88,-52,1,98,4576,4576
78,106,1,99,8268,8268
33,85,1,100,2805,2806
-115,-91,1,101,10465,10464
67,117,1,102,7839,7838
-52,14,1,103,-728,-728
34,-91,1,104,-3094,-3094
115,75,1,105,8625,8626
27,-85,1,106,-2295,-2294
73,92,1,107,6716,6716
13,39,1,108,507,508
-54,-48,1,109,2592,2592
-54,16,1,110,-864,-864
-66,-47,1,111,3102,3102
56,-69,1,112,-3864,-3864
-110,-83,1,113,9130,9130
-67,94,1,114,-6298,-6298
-38,-2,1,115,76,76
55,-79,1,116,-4345,-4344
34,-21,1,117,-714,-714
85,45,1,118,3825,3824
71,107,1,119,7597,7596
60,-52,1,120,-3120,-3120
-10,53,1,121,-530,-530
-63,28,1,122,-1764,-1764
-58,4,1,123,-232,-232
-118,98,1,124,-11564,-11564
15,63,1,125,945,946
-48,-69,1,126,3312,3312
-13,25,1,127,-325,-324
-36,-11,1,128,396,396
56,46,1,129,2576,2576
91,-125,1,130,-11375,-11376
125,-101,1,131,-12625,-12624
71,93,1,132,6603,6604
70,-2,1,133,-140,-140
-74,69,1,134,-5106,-5106
100,24,1,135,2400,2400
-108,92,1,136,-9936,-9936
-70,41,1,137,-2870,-2870
81,-104,1,138,-8424,-8424
114,68,1,139,7752,7752
37,-78,1,140,-2886,-2886
31,52,1,141,1612,1612
46,46,1,142,2116,2116
114,33,1,143,3762,3762
-63,94,1,144,-5922,-5922
23,-10,1,145,-230,-230
25,86,1,146,2150,2150
21,28,1,147,588,588
32,-81,1,148,-2592,-2592
76,-76,1,149,-5776,-5776
-67,-109,1,150,7303,7304
-69,-75,1,151,5175,5174
-91,84,1,152,-7644,-7644
-123,61,1,153,-7503,-7504
7,47,1,154,329,328
115,9,1,155,1035,1036
-91,38,1,156,-3458,-3458
55,79,1,157,4345,4344
-82,-120,1,158,9840,9840
20,-102,1,159,-2040,-2040
-113,19,1,160,-2147,-2148
-68,123,1,161,-8364,-8364
106,-77,1,162,-8162,-8162
97,-50,1,163,-4850,-4850
-71,-96,1,164,6816,6816
7,-113,1,165,-791,-792
102,-96,1,166,-9792,-9792
-44,81,1,167,-3564,-3564
-16,-7,1,168,112,112
16,79,1,169,1264,1264
66,-31,1,170,-2046,-2046
-12,34,1,171,-408,-408
-14,79,1,172,-1106,-1106
-8,-58,1,173,464,464
-76,73,1,174,-5548,-5548
-69,-103,1,175,7107,7108
-59,-80,1,176,4720,4720
-51,32,1,177,-1632,-1632
107,-50,1,178,-5350,-5350
-50,101,1,179,-5050,-5050
-123,-58,1,180,7134,7134
69,-23,1,181,-1587,-1588
-21,-61,1,182,1281,1280
105,89,1,183,9345,9346
-42,122,1,184,-5124,-5124
-109,59,1,185,-6431,-6430
6,-63,1,186,-378,-378
-13,-53,1,187,689,690
-42,117,1,188,-4914,-4914
-64,-111,1,189,7104,7104
67,-87,1,190,-5829,-5830
-2,-16,1,191,32,32
-106,31,1,192,-3286,-3286
115,50,1,193,5750,5750
120,-32,1,194,-3840,-3840
-127,56,1,195,-7112,-7112
64,-20,1,196,-1280,-1280
3,1,1,197,3,4
76,-109,1,198,-8284,-8284
44,-72,1,199,-3168,-3168
-20,-52,1,200,1040,1040
-23,-38,1,201,874,874
-98,-86,1,202,8428,8428
21,-1,1,203,-21,-22
30,-48,1,204,-1440,-1440
-109,111,1,205,-12099,-12098
-91,-19,1,206,1729,1728
-84,17,1,207,-1428,-1428
-121,-95,1,208,11495,11496
-99,-78,1,209,7722,7722
-47,107,1,210,-5029,-5030
55,-27,1,211,-1485,-1486
26,6,1,212,156,156
-109,-127,1,213,13843,13842
-126,36,1,214,-4536,-4536
83,50,1,215,4150,4150
-109,-125,1,216,13625,13624
26,-80,1,217,-2080,-2080
124,61,1,218,7564,7564
-12,4,1,219,-48,-48
-34,-78,1,220,2652,2652
11,-105,1,221,-1155,-1154
-98,114,1,222,-11172,-11172
106,-75,1,223,-7950,-7950
-3,-121,1,224,363,362
53,-84,1,225,-4452,-4452
77,-14,1,226,-1078,-1078
74,-17,1,227,-1258,-1258
-58,-55,1,228,3190,3190
-55,-59,1,229,3245,3246
-5,-80,1,230,400,400
-86,-58,1,231,4988,4988
50,-16,1,232,-800,-800
83,35,1,233,2905,2904
-40,-66,1,234,2640,2640
116,101,1,235,11716,11716
-16,50,1,236,-800,-800
74,-33,1,237,-2442,-2442
-109,-32,1,238,3488,3488
69,-115,1,239,-7935,-7936
-33,67,1,240,-2211,-2210
-9,15,1,241,-135,-134
55,-5,1,242,-275,-276
-94,-59,1,243,5546,5546
-108,-94,1,244,10152,10152
